"calendarSessionExternalId","courseSectionExternalId"
"FA2020","BIOL043LXKS-06 FA2020"
"FA2020","BIOL043LXKS-07 FA2020"
"FA2020","BIOL043LXKS-07 FA2020"
"FA2020","BIOL043LXKS-08 FA2020"
"FA2020","BIOL043LXKS-08 FA2020"
"FA2020","BIOL043LXKS-09 FA2020"
"FA2020","BIOL043LXKS-09 FA2020"
"SP2020","BIOL044L KS-01 SP2020"
"SP2020","BIOL044L KS-01 SP2020"
"SP2020","BIOL044L KS-02 SP2020"
"SP2020","BIOL044L KS-02 SP2020"
"SP2020","BIOL044L KS-03 SP2020"
"SP2020","BIOL044L KS-03 SP2020"
"SP2020","BIOL044L KS-04 SP2020"
"SP2020","BIOL044L KS-04 SP2020"
"SP2020","BIOL044L KS-05 SP2020"
"SP2020","BIOL044L KS-05 SP2020"
"SP2021","BIOL044L KS-01 SP2021"
"SP2021","BIOL044L KS-01 SP2021"
"SP2021","BIOL044L KS-02 SP2021"
"SP2021","BIOL044L KS-02 SP2021"
"SP2021","BIOL044L KS-03 SP2021"
"SP2021","BIOL044L KS-03 SP2021"
"SP2021","BIOL044L KS-04 SP2021"
"SP2021","BIOL044L KS-04 SP2021"
"SP2021","BIOL044L KS-05 SP2021"
"SP2021","BIOL044L KS-05 SP2021"
"SP2020","BIOL044LXKS-01 SP2020"
"SP2020","BIOL044LXKS-01 SP2020"
"SP2020","BIOL044LXKS-02 SP2020"
"SP2020","BIOL044LXKS-02 SP2020"
"SP2020","BIOL044LXKS-03 SP2020"
"SP2020","BIOL044LXKS-03 SP2020"
"SP2020","BIOL044LXKS-04 SP2020"
"SP2020","BIOL044LXKS-04 SP2020"
"SP2020","BIOL044LXKS-05 SP2020"
"SP2020","BIOL044LXKS-05 SP2020"
"SP2020","BIOL044LXKS-06 SP2020"
"SP2020","BIOL044LXKS-06 SP2020"
"SP2020","BIOL044LXKS-07 SP2020"
"SP2020","BIOL044LXKS-07 SP2020"
"SP2020","BIOL044LXKS-08 SP2020"
"SP2020","BIOL044LXKS-08 SP2020"
"SP2020","BIOL044LXKS-09 SP2020"
"SP2020","BIOL044LXKS-09 SP2020"
"SP2020","BIOL044LXKS-10 SP2020"
"SP2020","BIOL044LXKS-10 SP2020"
"SP2021","BIOL044LXKS-01 SP2021"
"SP2021","BIOL044LXKS-02 SP2021"
"SP2021","BIOL044LXKS-03 SP2021"
"SP2021","BIOL044LXKS-04 SP2021"
"SP2021","BIOL044LXKS-05 SP2021"
"SP2021","BIOL044LXKS-06 SP2021"
"SP2021","BIOL044LXKS-07 SP2021"
"SP2021","BIOL044LXKS-08 SP2021"
"SP2021","BIOL044LXKS-09 SP2021"
"SP2021","BIOL044LXKS-10 SP2021"
"SP2020","BIOL052  HM-01 SP2020"
"SP2020","BIOL052  HM-02 SP2020"
"SP2021","BIOL052  HM-01 SP2021"
"SP2020","BIOL052R HM-01 SP2020"
"SP2020","BIOL052R HM-02 SP2020"
"SP2020","BIOL052R HM-03 SP2020"
"SP2020","BIOL052R HM-04 SP2020"
"SP2020","BIOL052R HM-05 SP2020"
"SP2020","BIOL052R HM-06 SP2020"
"SP2020","BIOL052R HM-07 SP2020"
"SP2020","BIOL052R HM-08 SP2020"
"SP2021","BIOL052R HM-01 SP2021"
"SP2021","BIOL052R HM-02 SP2021"
"SP2021","BIOL052R HM-03 SP2021"
"SP2021","BIOL052R HM-04 SP2021"
"SP2021","BIOL052R HM-05 SP2021"
"SP2021","BIOL052R HM-06 SP2021"
"SP2021","BIOL052R HM-07 SP2021"
"SP2021","BIOL052R HM-08 SP2021"
"SP2020","BIOL053  PO-01 SP2020"
"SP2020","BIOL054  HM-01 SP2020"
"SP2020","BIOL054  HM-02 SP2020"
"SP2021","BIOL054  HM-01 SP2021"
"SP2021","BIOL054  HM-02 SP2021"
"SP2021","BIOL063L KS-01 SP2021"
"SP2021","BIOL063L KS-01 SP2021"
"FA2020","BIOL067L KS-01 FA2020"
